sentence_id	word_id	word	nfixations	meanpupilsize	ffd	sfd	gd	gpt	trt	ffd_pupilsize	gd_pupilsize	gpt_pupilsize	trt_pupilsize	ffd_t1_mean	ffd_t2_mean	ffd_a1_mean	ffd_a2_mean	ffd_b1_mean	ffd_b2_mean	ffd_g1_mean	ffd_g2_mean	sfd_t1_mean	sfd_t2_mean	sfd_a1_mean	sfd_a2_mean	sfd_b1_mean	sfd_b2_mean	sfd_g1_mean	sfd_g2_mean	gd_t1_mean	gd_t2_mean	gd_a1_mean	gd_a2_mean	gd_b1_mean	gd_b2_mean	gd_g1_mean	gd_g2_mean	gpt_t1_mean	gpt_t2_mean	gpt_a1_mean	gpt_a2_mean	gpt_b1_mean	gpt_b2_mean	gpt_g1_mean	gpt_g2_mean	trt_t1_mean	trt_t2_mean	trt_a1_mean	trt_a2_mean	trt_b1_mean	trt_b2_mean	trt_g1_mean	trt_g2_mean
1	1	He	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	2	was	1.0	2955.0	64.0	64.0	64.0	64.0	64.0	2955.0	2955.0	2955.0	2955.0	1.587246	1.585478	1.52824	1.698239	3.588974	2.400509	1.813161	2.456145	1.587246	1.585478	1.52824	1.698239	3.588974	2.400509	1.813161	2.456145	1.587246	1.585478	1.52824	1.698239	3.588974	2.400509	1.813161	2.456145	1.587246	1.585478	1.52824	1.698239	3.588974	2.400509	1.813161	2.456145	1.587246	1.585478	1.52824	1.698239	3.588974	2.400509	1.813161	2.456145
1	3	also	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	4	the	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	5	unsuccessful	3.0	2924.6667	54.0	n/a	180.0	180.0	334.0	2912.0	2900.5	2900.5	2924.6667	1.370568	1.032752	1.195209	2.862937	2.263585	2.676211	1.61484	1.676403	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.520643	1.645996	1.755364	3.048245	2.961475	2.589196	1.585842	1.805157	1.520643	1.645996	1.755364	3.048245	2.961475	2.589196	1.585842	1.805157	1.617526	1.565558	1.463562	2.490231	2.641881	2.457292	1.503485	1.70389
1	6	Republican	1.0	2889.0	375.0	375.0	375.0	375.0	375.0	2889.0	2889.0	2889.0	2889.0	1.19226	1.476296	1.764263	2.480932	2.581685	2.131737	1.42329	1.57954	1.19226	1.476296	1.764263	2.480932	2.581685	2.131737	1.42329	1.57954	1.19226	1.476296	1.764263	2.480932	2.581685	2.131737	1.42329	1.57954	1.19226	1.476296	1.764263	2.480932	2.581685	2.131737	1.42329	1.57954	1.19226	1.476296	1.764263	2.480932	2.581685	2.131737	1.42329	1.57954
1	7	nominee	1.0	2914.0	96.0	96.0	96.0	96.0	96.0	2914.0	2914.0	2914.0	2914.0	1.325043	0.953316	1.707304	1.737122	2.091884	2.103815	1.489472	1.600881	1.325043	0.953316	1.707304	1.737122	2.091884	2.103815	1.489472	1.600881	1.325043	0.953316	1.707304	1.737122	2.091884	2.103815	1.489472	1.600881	1.325043	0.953316	1.707304	1.737122	2.091884	2.103815	1.489472	1.600881	1.325043	0.953316	1.707304	1.737122	2.091884	2.103815	1.489472	1.600881
1	8	for	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	9	President	1.0	2968.0	203.0	203.0	203.0	203.0	203.0	2968.0	2968.0	2968.0	2968.0	1.567292	1.399392	1.425126	2.290486	2.184195	2.371122	1.504577	1.522691	1.567292	1.399392	1.425126	2.290486	2.184195	2.371122	1.504577	1.522691	1.567292	1.399392	1.425126	2.290486	2.184195	2.371122	1.504577	1.522691	1.567292	1.399392	1.425126	2.290486	2.184195	2.371122	1.504577	1.522691	1.567292	1.399392	1.425126	2.290486	2.184195	2.371122	1.504577	1.522691
1	10	in	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	11	the	1.0	2933.0	51.0	51.0	51.0	51.0	51.0	2933.0	2933.0	2933.0	2933.0	0.944252	1.0471	1.761667	1.761341	1.499557	1.662363	1.483471	1.951937	0.944252	1.0471	1.761667	1.761341	1.499557	1.662363	1.483471	1.951937	0.944252	1.0471	1.761667	1.761341	1.499557	1.662363	1.483471	1.951937	0.944252	1.0471	1.761667	1.761341	1.499557	1.662363	1.483471	1.951937	0.944252	1.0471	1.761667	1.761341	1.499557	1.662363	1.483471	1.951937
1	12	1996	1.0	2953.0	222.0	222.0	222.0	222.0	222.0	2953.0	2953.0	2953.0	2953.0	2.055154	1.456119	1.786899	1.863311	1.541196	2.071051	1.671309	1.967369	2.055154	1.456119	1.786899	1.863311	1.541196	2.071051	1.671309	1.967369	2.055154	1.456119	1.786899	1.863311	1.541196	2.071051	1.671309	1.967369	2.055154	1.456119	1.786899	1.863311	1.541196	2.071051	1.671309	1.967369	2.055154	1.456119	1.786899	1.863311	1.541196	2.071051	1.671309	1.967369
