onset	duration	trial_type	value	gaze_x	gaze_y	pupil_size	sacc_endx	sacc_endy	sacc_amplitude	sacc_peakvel
0.067	0.154	fixation	n/a	182.3	369.6	3351.0	n/a	n/a	n/a	n/a
0.112	0.0	trigger_94	94	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0.223	0.038	saccade	n/a	185.0	368.8	n/a	191.6	238.5	5.07	203.0
0.263	0.266	fixation	n/a	197.1	226.9	3393.0	n/a	n/a	n/a	n/a
0.531	0.198	saccade	n/a	203.2	224.1	n/a	239.2	196.4	1.75	1460.0
0.567	0.108	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0.731	1.148	fixation	n/a	245.6	207.3	3415.0	n/a	n/a	n/a	n/a
1.881	0.014	saccade	n/a	244.0	207.7	n/a	232.4	198.8	0.57	47.0
1.897	0.382	fixation	n/a	235.7	196.2	3734.0	n/a	n/a	n/a	n/a
2.122	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.281	0.026	saccade	n/a	233.0	198.3	n/a	181.3	191.4	1.98	92.0
2.309	0.146	fixation	n/a	163.6	192.3	3785.0	n/a	n/a	n/a	n/a
2.457	0.018	saccade	n/a	158.6	191.5	n/a	130.9	188.6	1.04	77.0
2.477	0.146	fixation	n/a	131.1	189.3	3796.0	n/a	n/a	n/a	n/a
2.625	0.114	saccade	n/a	131.0	190.5	n/a	119.5	178.7	0.63	1180.0
2.667	0.024	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.741	0.26	fixation	n/a	121.7	186.0	3802.0	n/a	n/a	n/a	n/a
3.003	0.028	saccade	n/a	124.0	183.9	n/a	199.5	175.8	2.85	150.0
3.033	0.294	fixation	n/a	206.0	176.7	3890.0	n/a	n/a	n/a	n/a
3.329	0.022	saccade	n/a	210.7	177.8	n/a	249.7	175.4	1.49	98.0
3.353	0.24	fixation	n/a	252.5	176.7	3852.0	n/a	n/a	n/a	n/a
3.595	0.026	saccade	n/a	255.1	175.4	n/a	329.8	167.8	2.88	147.0
3.623	0.256	fixation	n/a	342.0	169.8	3690.0	n/a	n/a	n/a	n/a
3.881	0.022	saccade	n/a	345.9	171.2	n/a	390.0	169.9	1.71	111.0
3.905	0.13	fixation	n/a	395.9	171.0	3660.0	n/a	n/a	n/a	n/a
4.037	0.028	saccade	n/a	397.6	171.0	n/a	322.6	169.9	2.9	164.0
4.067	0.198	fixation	n/a	320.8	169.6	3654.0	n/a	n/a	n/a	n/a
4.267	0.046	saccade	n/a	322.8	172.1	n/a	491.8	162.4	6.55	228.0
4.315	0.416	fixation	n/a	497.1	162.7	3674.0	n/a	n/a	n/a	n/a
4.733	0.106	saccade	n/a	497.1	170.9	n/a	493.0	157.8	0.54	2130.0
4.761	0.036	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4.841	0.162	fixation	n/a	492.7	164.3	3531.0	n/a	n/a	n/a	n/a
5.005	0.022	saccade	n/a	495.3	166.2	n/a	535.1	167.4	1.54	102.0
5.029	0.478	fixation	n/a	537.9	162.6	3653.0	n/a	n/a	n/a	n/a
5.509	0.066	saccade	n/a	534.2	163.8	n/a	163.3	223.9	14.24	350.0
5.577	0.13	fixation	n/a	157.2	229.7	3773.0	n/a	n/a	n/a	n/a
5.709	0.022	saccade	n/a	154.6	231.2	n/a	117.7	237.8	1.39	93.0
5.733	0.284	fixation	n/a	119.9	239.9	3775.0	n/a	n/a	n/a	n/a
6.019	0.034	saccade	n/a	121.9	238.5	n/a	234.1	232.4	4.22	184.0
6.055	0.2	fixation	n/a	240.2	233.8	3694.0	n/a	n/a	n/a	n/a
6.257	0.028	saccade	n/a	242.9	234.7	n/a	323.3	231.8	3.08	150.0
6.287	0.308	fixation	n/a	328.6	233.0	3645.0	n/a	n/a	n/a	n/a
6.597	0.028	saccade	n/a	330.9	231.6	n/a	406.6	226.9	2.91	152.0
6.627	0.43	fixation	n/a	414.1	232.5	3519.0	n/a	n/a	n/a	n/a
7.059	0.026	saccade	n/a	418.5	235.1	n/a	481.4	229.6	2.44	124.0
7.087	0.458	fixation	n/a	484.3	231.3	3466.0	n/a	n/a	n/a	n/a
7.547	0.026	saccade	n/a	483.1	233.0	n/a	550.4	228.9	2.59	134.0
7.575	0.284	fixation	n/a	559.0	233.9	3572.0	n/a	n/a	n/a	n/a
7.861	0.026	saccade	n/a	562.9	234.4	n/a	624.8	227.3	2.38	126.0
7.889	0.132	fixation	n/a	631.0	227.9	3595.0	n/a	n/a	n/a	n/a
8.023	0.142	saccade	n/a	621.4	236.4	n/a	172.0	302.3	17.15	1068.0
8.047	0.078	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
8.167	0.116	fixation	n/a	172.8	305.1	3559.0	n/a	n/a	n/a	n/a
8.285	0.022	saccade	n/a	171.2	305.7	n/a	120.3	308.3	1.89	120.0
8.309	0.318	fixation	n/a	117.1	306.9	3543.0	n/a	n/a	n/a	n/a
8.629	0.026	saccade	n/a	121.8	306.6	n/a	197.1	301.0	2.81	147.0
8.657	0.366	fixation	n/a	208.5	301.1	3459.0	n/a	n/a	n/a	n/a
9.025	0.022	saccade	n/a	213.4	302.0	n/a	250.8	300.8	1.42	95.0
9.049	0.168	fixation	n/a	253.2	299.6	3483.0	n/a	n/a	n/a	n/a
9.219	0.024	saccade	n/a	257.8	302.0	n/a	310.3	298.9	2.01	119.0
9.245	0.418	fixation	n/a	315.5	296.3	3441.0	n/a	n/a	n/a	n/a
9.665	0.024	saccade	n/a	320.6	296.5	n/a	371.5	293.6	1.96	111.0
9.691	0.236	fixation	n/a	378.1	293.5	3381.0	n/a	n/a	n/a	n/a
9.929	0.014	saccade	n/a	375.3	294.1	n/a	358.3	296.0	0.66	55.0
9.945	0.126	fixation	n/a	357.6	296.8	3411.0	n/a	n/a	n/a	n/a
10.073	0.026	saccade	n/a	360.0	297.5	n/a	428.9	295.9	2.66	132.0
10.101	0.172	fixation	n/a	434.8	295.4	3419.0	n/a	n/a	n/a	n/a
10.275	0.026	saccade	n/a	438.5	293.8	n/a	503.2	292.2	2.49	126.0
10.303	0.374	fixation	n/a	509.9	294.6	3504.0	n/a	n/a	n/a	n/a
10.679	0.018	saccade	n/a	512.7	295.8	n/a	541.8	296.4	1.12	80.0
10.699	0.136	fixation	n/a	543.4	297.4	3550.0	n/a	n/a	n/a	n/a
10.837	0.024	saccade	n/a	546.2	297.2	n/a	599.1	291.8	2.03	112.0
10.863	0.354	fixation	n/a	606.5	294.7	3507.0	n/a	n/a	n/a	n/a
11.219	0.096	saccade	n/a	593.4	304.5	n/a	580.8	308.3	0.5	1777.0
11.243	0.034	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
11.317	0.048	fixation	n/a	578.9	313.6	3366.0	n/a	n/a	n/a	n/a
11.367	0.06	saccade	n/a	578.6	312.7	n/a	216.2	375.2	13.94	379.0
11.429	0.114	fixation	n/a	210.0	379.0	3523.0	n/a	n/a	n/a	n/a
11.545	0.026	saccade	n/a	208.2	379.6	n/a	141.2	378.6	2.49	140.0
11.573	0.288	fixation	n/a	136.5	379.9	3552.0	n/a	n/a	n/a	n/a
11.863	0.04	saccade	n/a	139.6	382.1	n/a	272.8	363.6	5.04	197.0
11.905	0.378	fixation	n/a	278.1	364.1	3420.0	n/a	n/a	n/a	n/a
12.285	0.018	saccade	n/a	281.2	361.9	n/a	302.6	354.5	0.86	62.0
12.305	0.146	fixation	n/a	305.3	354.4	3324.0	n/a	n/a	n/a	n/a
12.453	0.02	saccade	n/a	305.7	354.0	n/a	298.9	330.3	0.95	63.0
12.475	0.26	fixation	n/a	298.8	327.4	3328.0	n/a	n/a	n/a	n/a
12.737	0.044	saccade	n/a	299.3	329.4	n/a	120.3	369.7	6.88	260.0
12.783	0.17	fixation	n/a	114.6	372.6	3453.0	n/a	n/a	n/a	n/a
12.955	0.156	saccade	n/a	112.4	373.9	n/a	190.2	328.9	3.35	926.0
12.993	0.076	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
13.113	0.202	fixation	n/a	196.2	337.2	3464.0	n/a	n/a	n/a	n/a
13.317	0.03	saccade	n/a	198.1	338.3	n/a	295.8	354.6	3.74	180.0
13.349	0.62	fixation	n/a	302.8	358.0	3604.0	n/a	n/a	n/a	n/a
13.708	0.0	trigger_11	11	n/a	n/a	n/a	n/a	n/a	n/a	n/a
13.814	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
13.971	0.052	saccade	n/a	302.8	357.2	n/a	156.5	181.5	8.73	313.0
14.025	0.312	fixation	n/a	160.3	180.7	3602.0	n/a	n/a	n/a	n/a
14.339	0.026	saccade	n/a	164.2	180.9	n/a	230.5	176.0	2.5	138.0
14.367	0.302	fixation	n/a	244.8	178.8	3662.0	n/a	n/a	n/a	n/a
14.671	0.028	saccade	n/a	247.9	179.6	n/a	320.3	176.7	2.77	128.0
14.701	0.27	fixation	n/a	329.2	177.2	3751.0	n/a	n/a	n/a	n/a
14.973	0.028	saccade	n/a	330.7	178.0	n/a	407.4	171.8	2.95	146.0
15.003	0.19	fixation	n/a	418.4	174.7	3772.0	n/a	n/a	n/a	n/a
15.195	0.026	saccade	n/a	418.6	179.9	n/a	350.7	176.4	2.62	148.0
15.223	0.23	fixation	n/a	347.0	175.3	3764.0	n/a	n/a	n/a	n/a
15.455	0.034	saccade	n/a	349.7	176.1	n/a	454.8	175.4	4.05	177.0
15.491	0.196	fixation	n/a	459.5	177.6	3740.0	n/a	n/a	n/a	n/a
15.689	0.026	saccade	n/a	461.0	176.8	n/a	527.0	169.9	2.55	130.0
15.717	0.068	fixation	n/a	531.1	171.4	3754.0	n/a	n/a	n/a	n/a
15.787	0.17	saccade	n/a	531.2	171.9	n/a	113.8	233.6	15.87	1431.0
15.833	0.074	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
15.959	0.312	fixation	n/a	113.3	235.4	3732.0	n/a	n/a	n/a	n/a
