onset	duration	trial_type	value	gaze_x	gaze_y	pupil_size	sacc_endx	sacc_endy	sacc_amplitude	sacc_peakvel
0.113	0.28	fixation	n/a	161.5	192.6	2914.0	n/a	n/a	n/a	n/a
0.395	0.226	saccade	n/a	159.7	196.0	n/a	171.0	277.8	2.97	620.0
0.449	0.092	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0.623	0.44	fixation	n/a	177.0	274.6	2902.0	n/a	n/a	n/a	n/a
1.065	0.018	saccade	n/a	177.8	279.6	n/a	149.2	285.0	1.02	73.0
1.085	2.012	fixation	n/a	145.3	290.9	2874.0	n/a	n/a	n/a	n/a
2.158	0.0	trigger_116	116	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3.099	0.016	saccade	n/a	137.2	302.7	n/a	153.1	315.8	0.72	52.0
3.117	0.944	fixation	n/a	145.4	330.9	2904.0	n/a	n/a	n/a	n/a
4.063	0.04	saccade	n/a	136.3	342.7	n/a	261.8	345.9	4.39	141.0
4.105	0.148	fixation	n/a	271.8	351.2	2784.0	n/a	n/a	n/a	n/a
4.168	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4.255	0.04	saccade	n/a	278.5	354.4	n/a	421.7	344.4	5.13	196.0
4.297	0.096	fixation	n/a	425.4	343.6	2744.0	n/a	n/a	n/a	n/a
4.395	0.054	saccade	n/a	428.1	342.3	n/a	204.6	230.5	8.93	295.0
4.451	0.122	fixation	n/a	217.7	235.1	2669.0	n/a	n/a	n/a	n/a
4.575	0.03	saccade	n/a	221.9	236.7	n/a	139.1	194.8	3.27	200.0
4.607	0.182	fixation	n/a	143.2	198.2	2497.0	n/a	n/a	n/a	n/a
4.791	0.018	saccade	n/a	137.6	201.6	n/a	109.7	192.2	1.02	79.0
4.811	0.3	fixation	n/a	114.9	193.5	2412.0	n/a	n/a	n/a	n/a
5.113	0.02	saccade	n/a	119.1	193.6	n/a	153.0	187.2	1.2	81.0
5.135	0.286	fixation	n/a	151.8	186.2	2439.0	n/a	n/a	n/a	n/a
5.423	0.022	saccade	n/a	155.1	186.7	n/a	200.9	184.8	1.61	101.0
5.447	0.16	fixation	n/a	200.7	183.5	2554.0	n/a	n/a	n/a	n/a
5.609	0.02	saccade	n/a	204.1	188.7	n/a	243.7	185.1	1.41	98.0
5.631	0.244	fixation	n/a	242.8	187.9	2715.0	n/a	n/a	n/a	n/a
5.877	0.028	saccade	n/a	240.5	187.7	n/a	184.3	186.1	1.98	136.0
5.907	0.14	fixation	n/a	187.9	187.4	2836.0	n/a	n/a	n/a	n/a
6.049	0.034	saccade	n/a	185.1	186.3	n/a	96.1	189.0	3.08	212.0
6.085	0.266	fixation	n/a	100.7	193.3	2895.0	n/a	n/a	n/a	n/a
6.353	0.02	saccade	n/a	102.9	194.3	n/a	139.7	186.8	1.3	88.0
6.375	0.644	fixation	n/a	149.9	189.0	3091.0	n/a	n/a	n/a	n/a
7.021	0.02	saccade	n/a	160.8	195.9	n/a	198.7	195.6	1.33	94.0
7.043	0.168	fixation	n/a	197.9	197.4	3033.0	n/a	n/a	n/a	n/a
7.213	0.028	saccade	n/a	199.0	195.0	n/a	264.3	189.2	2.32	148.0
7.243	0.146	fixation	n/a	263.1	189.5	3073.0	n/a	n/a	n/a	n/a
7.391	0.026	saccade	n/a	265.9	188.6	n/a	321.2	184.1	1.98	128.0
7.419	0.184	fixation	n/a	318.8	185.3	3114.0	n/a	n/a	n/a	n/a
7.605	0.02	saccade	n/a	323.2	188.7	n/a	363.6	185.9	1.45	100.0
7.627	0.148	fixation	n/a	362.3	187.1	3111.0	n/a	n/a	n/a	n/a
