onset	duration	trial_type	value	gaze_x	gaze_y	pupil_size	sacc_endx	sacc_endy	sacc_amplitude	sacc_peakvel
0.011	0.156	fixation	n/a	265.3	211.9	3042.0	n/a	n/a	n/a	n/a
0.06	0.0	trigger_91	91	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0.169	0.036	saccade	n/a	264.9	210.3	n/a	157.1	163.5	4.21	298.0
0.207	0.216	fixation	n/a	156.6	167.0	2991.0	n/a	n/a	n/a	n/a
0.425	0.026	saccade	n/a	156.3	165.0	n/a	207.3	141.9	2.0	142.0
0.453	0.54	fixation	n/a	208.3	145.9	2977.0	n/a	n/a	n/a	n/a
0.995	0.02	saccade	n/a	211.7	142.5	n/a	243.1	134.6	1.16	82.0
1.017	0.434	fixation	n/a	236.7	138.1	3172.0	n/a	n/a	n/a	n/a
1.453	0.02	saccade	n/a	238.8	144.9	n/a	278.0	152.5	1.43	97.0
1.475	0.742	fixation	n/a	274.8	153.7	3280.0	n/a	n/a	n/a	n/a
2.074	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.219	0.032	saccade	n/a	278.8	160.1	n/a	209.6	146.6	2.52	222.0
2.253	0.092	fixation	n/a	211.3	148.8	3295.0	n/a	n/a	n/a	n/a
2.347	0.022	saccade	n/a	207.0	151.1	n/a	176.4	151.9	1.09	93.0
2.371	0.14	fixation	n/a	181.9	153.6	3301.0	n/a	n/a	n/a	n/a
2.513	0.03	saccade	n/a	181.6	154.3	n/a	246.6	158.3	2.33	181.0
2.545	0.192	fixation	n/a	243.5	158.3	3275.0	n/a	n/a	n/a	n/a
2.739	0.024	saccade	n/a	245.3	158.7	n/a	283.1	160.3	1.36	99.0
2.765	0.152	fixation	n/a	277.6	160.7	3219.0	n/a	n/a	n/a	n/a
2.919	0.014	saccade	n/a	284.4	160.4	n/a	302.8	162.4	0.67	56.0
2.935	0.296	fixation	n/a	299.7	159.6	3156.0	n/a	n/a	n/a	n/a
3.233	0.03	saccade	n/a	301.4	158.7	n/a	380.7	166.2	2.87	201.0
3.265	0.3	fixation	n/a	380.7	166.7	3082.0	n/a	n/a	n/a	n/a
3.567	0.032	saccade	n/a	383.1	166.5	n/a	462.5	166.6	2.85	188.0
3.601	0.096	fixation	n/a	461.6	166.1	3033.0	n/a	n/a	n/a	n/a
3.699	0.024	saccade	n/a	466.9	168.9	n/a	505.4	168.2	1.38	104.0
3.725	0.166	fixation	n/a	500.8	165.5	2983.0	n/a	n/a	n/a	n/a
3.893	0.032	saccade	n/a	503.7	161.7	n/a	597.7	170.9	3.35	216.0
3.927	0.108	fixation	n/a	595.4	170.5	2942.0	n/a	n/a	n/a	n/a
4.037	0.058	saccade	n/a	597.9	171.0	n/a	165.3	228.3	15.4	551.0
4.097	0.102	fixation	n/a	159.4	230.7	2981.0	n/a	n/a	n/a	n/a
4.201	0.024	saccade	n/a	154.7	232.9	n/a	121.8	218.7	1.26	118.0
4.227	0.656	fixation	n/a	118.6	222.5	2915.0	n/a	n/a	n/a	n/a
4.885	0.034	saccade	n/a	118.9	226.3	n/a	235.8	228.0	4.13	267.0
4.921	0.244	fixation	n/a	239.2	229.6	2918.0	n/a	n/a	n/a	n/a
5.167	0.02	saccade	n/a	243.1	229.7	n/a	272.6	229.4	1.05	74.0
5.189	0.12	fixation	n/a	268.6	231.1	2961.0	n/a	n/a	n/a	n/a
5.311	0.028	saccade	n/a	270.7	227.7	n/a	332.1	227.9	2.2	174.0
5.341	0.286	fixation	n/a	332.8	228.4	2927.0	n/a	n/a	n/a	n/a
5.629	0.026	saccade	n/a	335.8	228.1	n/a	388.2	226.5	1.88	137.0
5.657	0.2	fixation	n/a	385.9	227.0	2881.0	n/a	n/a	n/a	n/a
5.859	0.018	saccade	n/a	390.0	226.5	n/a	422.0	226.2	1.15	81.0
5.879	0.464	fixation	n/a	419.5	227.2	2890.0	n/a	n/a	n/a	n/a
6.345	0.018	saccade	n/a	423.8	227.5	n/a	457.3	230.1	1.2	88.0
6.365	0.256	fixation	n/a	450.9	228.1	2920.0	n/a	n/a	n/a	n/a
