onset	duration	trial_type	value	gaze_x	gaze_y	pupil_size	sacc_endx	sacc_endy	sacc_amplitude	sacc_peakvel
0.034	0.284	fixation	n/a	251.8	335.9	6070.0	n/a	n/a	n/a	n/a
0.32	0.17	saccade	n/a	244.0	348.2	n/a	219.4	157.8	6.9	3270.0
0.404	0.028	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0.492	0.296	fixation	n/a	222.9	180.1	5276.0	n/a	n/a	n/a	n/a
0.79	0.042	saccade	n/a	225.4	181.0	n/a	350.7	288.2	5.85	201.0
0.834	0.494	fixation	n/a	349.6	283.8	5419.0	n/a	n/a	n/a	n/a
1.33	0.122	saccade	n/a	347.3	279.0	n/a	296.0	274.3	1.81	1553.0
1.366	0.044	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1.454	0.388	fixation	n/a	294.3	293.3	5602.0	n/a	n/a	n/a	n/a
1.844	0.028	saccade	n/a	295.2	294.8	n/a	225.9	254.6	2.85	143.0
1.874	0.178	fixation	n/a	226.4	252.6	5653.0	n/a	n/a	n/a	n/a
2.054	0.158	saccade	n/a	229.2	251.9	n/a	227.1	203.5	1.73	2399.0
2.078	0.06	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.078	0.0	trigger_111	111	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.214	0.194	fixation	n/a	227.0	238.2	5764.0	n/a	n/a	n/a	n/a
2.41	0.058	saccade	n/a	225.3	242.0	n/a	271.5	512.1	9.73	244.0
2.47	0.344	fixation	n/a	270.7	513.8	5822.0	n/a	n/a	n/a	n/a
2.816	0.024	saccade	n/a	271.8	513.0	n/a	332.0	528.7	2.18	121.0
2.842	0.2	fixation	n/a	338.6	534.9	5863.0	n/a	n/a	n/a	n/a
3.044	0.2	saccade	n/a	336.4	532.8	n/a	237.5	181.6	12.91	1163.0
3.124	0.046	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3.246	0.38	fixation	n/a	236.1	223.2	5595.0	n/a	n/a	n/a	n/a
3.628	0.058	saccade	n/a	232.9	226.2	n/a	295.7	418.4	7.19	164.0
3.688	0.322	fixation	n/a	294.7	419.4	5681.0	n/a	n/a	n/a	n/a
4.012	0.042	saccade	n/a	294.9	424.5	n/a	460.1	396.0	5.89	204.0
4.056	0.174	fixation	n/a	465.5	397.7	5460.0	n/a	n/a	n/a	n/a
4.088	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4.232	0.048	saccade	n/a	465.1	400.0	n/a	258.5	216.8	9.75	377.0
4.282	0.162	fixation	n/a	266.2	221.9	5164.0	n/a	n/a	n/a	n/a
4.446	0.036	saccade	n/a	269.0	225.9	n/a	142.6	183.9	4.65	214.0
4.484	0.102	fixation	n/a	145.6	185.6	5027.0	n/a	n/a	n/a	n/a
4.588	0.018	saccade	n/a	144.6	184.8	n/a	130.4	162.9	0.91	65.0
4.608	0.206	fixation	n/a	130.0	164.2	4968.0	n/a	n/a	n/a	n/a
4.816	0.026	saccade	n/a	135.6	168.7	n/a	198.7	164.9	2.2	114.0
4.844	0.19	fixation	n/a	203.5	158.2	4913.0	n/a	n/a	n/a	n/a
5.036	0.07	saccade	n/a	200.7	160.4	n/a	194.9	518.7	12.62	255.0
