onset	duration	trial_type	value	gaze_x	gaze_y	pupil_size	sacc_endx	sacc_endy	sacc_amplitude	sacc_peakvel
0.108	0.0	trigger_95	95	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0.116	0.258	fixation	n/a	195.9	172.2	2061.0	n/a	n/a	n/a	n/a
0.376	0.152	saccade	n/a	200.4	188.5	n/a	366.8	219.2	6.44	2003.0
0.412	0.074	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0.53	0.266	fixation	n/a	374.3	225.4	2115.0	n/a	n/a	n/a	n/a
0.798	0.032	saccade	n/a	373.0	233.0	n/a	258.8	232.9	4.37	197.0
0.832	0.218	fixation	n/a	248.5	238.2	2309.0	n/a	n/a	n/a	n/a
1.052	0.028	saccade	n/a	246.9	238.0	n/a	326.5	248.5	3.05	164.0
1.082	0.112	fixation	n/a	337.1	256.2	2433.0	n/a	n/a	n/a	n/a
1.196	0.196	saccade	n/a	339.9	268.0	n/a	408.3	244.7	2.8	2320.0
1.226	0.126	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1.394	0.166	fixation	n/a	406.3	253.7	2449.0	n/a	n/a	n/a	n/a
1.562	0.208	saccade	n/a	410.1	264.4	n/a	418.3	285.1	0.87	1919.0
1.594	0.13	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1.772	0.326	fixation	n/a	427.5	290.6	2559.0	n/a	n/a	n/a	n/a
2.1	0.03	saccade	n/a	428.0	295.5	n/a	507.1	339.2	3.53	190.0
2.12	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.132	0.16	fixation	n/a	515.4	337.7	2541.0	n/a	n/a	n/a	n/a
2.294	0.064	saccade	n/a	519.0	334.8	n/a	241.5	170.6	12.4	366.0
2.36	0.086	fixation	n/a	238.1	167.0	2407.0	n/a	n/a	n/a	n/a
2.448	0.028	saccade	n/a	239.2	166.2	n/a	163.9	158.0	2.83	179.0
2.478	0.152	fixation	n/a	159.8	156.6	2279.0	n/a	n/a	n/a	n/a
2.632	0.018	saccade	n/a	157.8	156.5	n/a	132.0	152.2	0.96	71.0
2.652	0.216	fixation	n/a	131.8	149.1	2306.0	n/a	n/a	n/a	n/a
2.87	0.03	saccade	n/a	131.9	149.9	n/a	236.3	165.3	3.92	201.0
2.902	0.718	fixation	n/a	247.7	169.1	2380.0	n/a	n/a	n/a	n/a
3.622	0.02	saccade	n/a	251.4	176.1	n/a	286.4	175.1	1.33	94.0
3.644	0.24	fixation	n/a	289.8	173.4	2406.0	n/a	n/a	n/a	n/a
3.886	0.028	saccade	n/a	293.1	172.6	n/a	385.9	175.3	3.56	191.0
3.916	0.4	fixation	n/a	398.4	174.8	2431.0	n/a	n/a	n/a	n/a
4.318	0.026	saccade	n/a	401.3	172.6	n/a	473.7	174.9	2.81	159.0
4.346	0.164	fixation	n/a	483.9	171.8	2375.0	n/a	n/a	n/a	n/a
4.512	0.024	saccade	n/a	486.9	172.9	n/a	551.8	172.6	2.53	148.0
4.538	0.622	fixation	n/a	564.0	171.5	2505.0	n/a	n/a	n/a	n/a
5.162	0.078	saccade	n/a	568.5	174.7	n/a	137.9	235.0	16.42	349.0
5.242	0.21	fixation	n/a	133.8	230.7	2551.0	n/a	n/a	n/a	n/a
5.454	0.024	saccade	n/a	137.1	235.2	n/a	179.7	244.4	1.61	109.0
5.48	0.188	fixation	n/a	182.9	241.8	2575.0	n/a	n/a	n/a	n/a
5.67	0.03	saccade	n/a	184.0	240.0	n/a	269.4	238.6	3.21	191.0
5.702	0.194	fixation	n/a	275.2	237.1	2578.0	n/a	n/a	n/a	n/a
5.898	0.03	saccade	n/a	277.4	234.1	n/a	371.4	239.5	3.6	192.0
5.93	0.318	fixation	n/a	384.7	240.2	2604.0	n/a	n/a	n/a	n/a
6.25	0.016	saccade	n/a	386.4	236.4	n/a	407.1	234.6	0.8	65.0
6.268	0.798	fixation	n/a	405.7	238.1	2592.0	n/a	n/a	n/a	n/a
6.824	0.0	trigger_11	11	n/a	n/a	n/a	n/a	n/a	n/a	n/a
6.926	0.0	trigger_12	12	n/a	n/a	n/a	n/a	n/a	n/a	n/a
7.068	0.062	saccade	n/a	405.0	245.3	n/a	138.0	170.4	10.47	283.0
7.132	0.098	fixation	n/a	140.3	165.7	2631.0	n/a	n/a	n/a	n/a
7.232	0.15	saccade	n/a	139.7	179.4	n/a	160.6	152.7	1.28	2112.0
7.264	0.076	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
7.384	0.214	fixation	n/a	161.1	158.4	2478.0	n/a	n/a	n/a	n/a
7.6	0.02	saccade	n/a	152.1	157.2	n/a	116.6	156.9	1.3	88.0
7.622	0.346	fixation	n/a	113.5	160.1	2553.0	n/a	n/a	n/a	n/a
7.97	0.026	saccade	n/a	115.5	163.7	n/a	189.6	174.4	2.76	152.0
7.998	0.184	fixation	n/a	200.1	172.1	2552.0	n/a	n/a	n/a	n/a
8.184	0.03	saccade	n/a	202.0	169.6	n/a	308.5	178.2	4.03	197.0
8.216	0.234	fixation	n/a	319.3	176.8	2635.0	n/a	n/a	n/a	n/a
8.452	0.02	saccade	n/a	324.3	175.6	n/a	357.3	177.5	1.27	92.0
8.474	0.19	fixation	n/a	358.7	173.7	2659.0	n/a	n/a	n/a	n/a
8.666	0.016	saccade	n/a	362.8	172.2	n/a	382.5	174.8	0.77	61.0
8.684	0.192	fixation	n/a	382.9	170.9	2618.0	n/a	n/a	n/a	n/a
