onset	duration	trial_type	value	gaze_x	gaze_y	pupil_size	sacc_endx	sacc_endy	sacc_amplitude	sacc_peakvel
0.016	0.268	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0.016	0.304	saccade	n/a	0.0	0.0	n/a	96.6	199.7	4600000.0	707.0
0.07	0.0	trigger_94	94	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0.322	0.112	fixation	n/a	99.3	199.6	4408.0	n/a	n/a	n/a	n/a
0.436	0.216	saccade	n/a	106.1	203.3	n/a	187.7	231.7	2.77	1422.0
0.468	0.09	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0.654	0.46	fixation	n/a	200.7	212.4	3565.0	n/a	n/a	n/a	n/a
1.116	0.034	saccade	n/a	216.0	205.6	n/a	332.4	202.9	3.99	187.0
1.152	1.078	fixation	n/a	333.7	207.4	3420.0	n/a	n/a	n/a	n/a
2.08	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.232	0.046	saccade	n/a	331.5	209.8	n/a	134.1	185.4	6.79	248.0
2.28	0.166	fixation	n/a	141.8	186.6	3447.0	n/a	n/a	n/a	n/a
2.448	0.026	saccade	n/a	146.3	183.7	n/a	226.3	167.5	2.75	151.0
2.476	0.144	fixation	n/a	230.6	169.4	3400.0	n/a	n/a	n/a	n/a
2.622	0.038	saccade	n/a	234.3	170.6	n/a	372.8	155.9	4.82	220.0
2.662	0.408	fixation	n/a	372.8	160.5	3302.0	n/a	n/a	n/a	n/a
3.072	0.032	saccade	n/a	372.6	162.4	n/a	461.9	156.0	3.17	157.0
3.106	0.172	fixation	n/a	459.7	156.4	3327.0	n/a	n/a	n/a	n/a
3.28	0.026	saccade	n/a	461.7	157.9	n/a	522.6	154.0	2.18	134.0
3.308	0.188	fixation	n/a	518.9	151.3	3388.0	n/a	n/a	n/a	n/a
3.498	0.056	saccade	n/a	518.3	153.4	n/a	175.2	225.6	12.13	383.0
3.556	0.384	fixation	n/a	182.6	225.7	3474.0	n/a	n/a	n/a	n/a
3.942	0.042	saccade	n/a	184.3	222.8	n/a	330.8	225.7	5.03	179.0
3.986	0.188	fixation	n/a	331.5	225.6	3392.0	n/a	n/a	n/a	n/a
4.176	0.036	saccade	n/a	332.6	226.4	n/a	450.5	217.2	4.17	195.0
4.214	0.224	fixation	n/a	450.7	218.4	3318.0	n/a	n/a	n/a	n/a
4.44	0.04	saccade	n/a	453.5	220.4	n/a	605.6	208.1	5.45	233.0
4.482	0.164	fixation	n/a	604.1	203.8	3156.0	n/a	n/a	n/a	n/a
4.648	0.066	saccade	n/a	604.8	197.2	n/a	156.3	284.1	15.74	414.0
4.716	0.21	fixation	n/a	160.7	284.9	3286.0	n/a	n/a	n/a	n/a
4.928	0.042	saccade	n/a	166.9	289.7	n/a	310.7	279.5	4.92	177.0
4.972	0.246	fixation	n/a	312.7	279.9	3222.0	n/a	n/a	n/a	n/a
5.22	0.024	saccade	n/a	316.6	279.8	n/a	383.8	275.8	2.35	141.0
5.246	0.146	fixation	n/a	384.1	271.5	3135.0	n/a	n/a	n/a	n/a
5.394	0.044	saccade	n/a	386.7	272.7	n/a	576.3	264.2	6.72	266.0
5.44	0.198	fixation	n/a	576.8	266.2	2989.0	n/a	n/a	n/a	n/a
5.64	0.064	saccade	n/a	576.5	268.1	n/a	160.2	346.9	14.58	392.0
5.706	0.228	fixation	n/a	165.1	348.6	3181.0	n/a	n/a	n/a	n/a
5.936	0.034	saccade	n/a	166.7	346.7	n/a	284.2	330.6	4.02	208.0
5.972	0.118	fixation	n/a	286.4	331.4	3205.0	n/a	n/a	n/a	n/a
6.092	0.044	saccade	n/a	287.8	328.2	n/a	159.8	187.9	6.57	298.0
6.138	0.382	fixation	n/a	163.7	191.5	3201.0	n/a	n/a	n/a	n/a
6.154	0.0	trigger_11	11	n/a	n/a	n/a	n/a	n/a	n/a	n/a
6.258	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
6.522	0.042	saccade	n/a	164.5	194.4	n/a	333.7	159.2	5.91	264.0
6.566	0.214	fixation	n/a	337.4	160.2	3286.0	n/a	n/a	n/a	n/a
6.782	0.036	saccade	n/a	340.7	158.5	n/a	460.1	151.5	4.2	207.0
6.82	0.18	fixation	n/a	461.3	152.9	3236.0	n/a	n/a	n/a	n/a
7.002	0.06	saccade	n/a	461.9	154.6	n/a	102.1	223.8	12.52	358.0
7.064	0.176	fixation	n/a	103.0	223.5	3259.0	n/a	n/a	n/a	n/a
7.242	0.026	saccade	n/a	103.8	220.5	n/a	149.2	171.8	2.27	126.0
7.27	0.314	fixation	n/a	151.2	174.6	3280.0	n/a	n/a	n/a	n/a
7.274	0.0	trigger_11	11	n/a	n/a	n/a	n/a	n/a	n/a	n/a
7.378	0.0	trigger_12	12	n/a	n/a	n/a	n/a	n/a	n/a	n/a
7.586	0.032	saccade	n/a	153.3	174.4	n/a	257.3	166.7	3.52	180.0
7.62	0.196	fixation	n/a	258.8	167.3	3345.0	n/a	n/a	n/a	n/a
7.818	0.042	saccade	n/a	260.3	167.7	n/a	417.9	159.4	5.49	220.0
7.862	0.214	fixation	n/a	421.7	159.7	3287.0	n/a	n/a	n/a	n/a
8.078	0.03	saccade	n/a	425.2	160.0	n/a	506.6	152.9	2.9	146.0
8.11	0.132	fixation	n/a	507.6	153.6	3199.0	n/a	n/a	n/a	n/a
8.244	0.06	saccade	n/a	507.2	152.0	n/a	135.9	230.2	13.06	391.0
8.306	0.23	fixation	n/a	139.7	230.4	3196.0	n/a	n/a	n/a	n/a
8.538	0.036	saccade	n/a	142.2	231.3	n/a	262.9	219.4	4.11	210.0
8.576	0.26	fixation	n/a	264.3	219.8	3218.0	n/a	n/a	n/a	n/a
8.838	0.046	saccade	n/a	264.2	218.7	n/a	480.7	208.0	7.57	292.0
