onset	duration	trial_type	value	gaze_x	gaze_y	pupil_size	sacc_endx	sacc_endy	sacc_amplitude	sacc_peakvel
0.046	0.51	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0.046	0.57	saccade	n/a	0.0	0.0	n/a	135.1	352.7	5300000.0	804.0
0.1	0.0	trigger_94	94	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0.618	0.182	fixation	n/a	134.4	359.7	4346.0	n/a	n/a	n/a	n/a
0.802	0.032	saccade	n/a	132.4	358.4	n/a	154.5	261.5	3.83	215.0
0.836	0.032	fixation	n/a	150.3	269.1	4034.0	n/a	n/a	n/a	n/a
0.87	0.452	saccade	n/a	148.6	264.1	n/a	117.6	149.3	4.55	922.0
0.908	0.334	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1.324	0.188	fixation	n/a	120.8	180.3	2855.0	n/a	n/a	n/a	n/a
1.514	0.728	saccade	n/a	120.5	182.2	n/a	107.3	123.2	2.29	977.0
1.546	0.626	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.11	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.244	0.178	fixation	n/a	111.2	149.1	3339.0	n/a	n/a	n/a	n/a
2.424	0.034	saccade	n/a	108.2	151.6	n/a	236.8	179.0	4.97	306.0
2.46	0.212	fixation	n/a	232.9	173.8	3370.0	n/a	n/a	n/a	n/a
2.674	0.034	saccade	n/a	232.6	172.0	n/a	349.0	179.2	4.49	331.0
2.71	0.136	fixation	n/a	352.5	181.7	3114.0	n/a	n/a	n/a	n/a
2.848	0.03	saccade	n/a	354.7	182.4	n/a	405.2	173.8	1.98	178.0
2.88	0.1	fixation	n/a	406.0	169.9	3005.0	n/a	n/a	n/a	n/a
2.982	0.032	saccade	n/a	406.8	169.4	n/a	488.5	146.2	3.27	243.0
3.016	0.132	fixation	n/a	494.7	143.4	2918.0	n/a	n/a	n/a	n/a
3.15	0.02	saccade	n/a	495.7	139.4	n/a	522.2	137.8	1.02	94.0
3.172	0.05	fixation	n/a	520.1	139.0	2891.0	n/a	n/a	n/a	n/a
3.224	0.06	saccade	n/a	519.9	136.2	n/a	158.7	248.6	14.43	441.0
3.286	0.23	fixation	n/a	151.1	249.1	3012.0	n/a	n/a	n/a	n/a
3.518	0.036	saccade	n/a	149.1	249.4	n/a	340.2	251.9	7.31	412.0
3.556	0.182	fixation	n/a	354.6	252.3	3074.0	n/a	n/a	n/a	n/a
3.74	0.036	saccade	n/a	356.4	253.9	n/a	485.4	234.6	5.04	319.0
3.778	0.192	fixation	n/a	493.8	235.2	3009.0	n/a	n/a	n/a	n/a
3.972	0.03	saccade	n/a	495.9	236.4	n/a	572.5	222.3	2.98	201.0
4.004	0.092	fixation	n/a	574.2	222.7	2936.0	n/a	n/a	n/a	n/a
4.098	0.036	saccade	n/a	574.9	222.2	n/a	447.0	233.3	4.9	291.0
4.136	0.232	fixation	n/a	440.7	235.0	2942.0	n/a	n/a	n/a	n/a
4.37	0.138	saccade	n/a	440.5	239.9	n/a	502.2	187.5	3.13	1021.0
4.404	0.046	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4.51	0.258	fixation	n/a	504.2	224.6	2981.0	n/a	n/a	n/a	n/a
4.77	0.028	saccade	n/a	504.6	228.7	n/a	554.5	219.1	1.95	159.0
4.8	0.146	fixation	n/a	557.9	222.2	2959.0	n/a	n/a	n/a	n/a
4.948	0.024	saccade	n/a	561.2	222.8	n/a	596.1	221.1	1.32	110.0
4.974	0.14	fixation	n/a	594.3	217.4	2951.0	n/a	n/a	n/a	n/a
5.116	0.084	saccade	n/a	594.2	219.3	n/a	163.5	304.5	16.65	376.0
5.202	0.304	fixation	n/a	161.0	305.4	3004.0	n/a	n/a	n/a	n/a
5.508	0.04	saccade	n/a	167.0	307.1	n/a	374.8	284.2	8.01	441.0
5.55	0.14	fixation	n/a	387.9	284.6	2914.0	n/a	n/a	n/a	n/a
5.692	0.038	saccade	n/a	388.9	287.2	n/a	343.8	304.7	1.87	190.0
5.732	0.166	fixation	n/a	337.1	307.8	2873.0	n/a	n/a	n/a	n/a
5.9	0.018	saccade	n/a	336.9	310.7	n/a	322.4	313.5	0.57	71.0
5.92	0.126	fixation	n/a	325.6	314.5	2883.0	n/a	n/a	n/a	n/a
6.048	0.128	saccade	n/a	326.3	317.7	n/a	489.6	271.6	6.53	790.0
6.08	0.042	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
6.178	0.106	fixation	n/a	487.8	301.5	2893.0	n/a	n/a	n/a	n/a
6.286	0.03	saccade	n/a	487.2	303.8	n/a	469.8	245.6	2.37	172.0
6.318	0.206	fixation	n/a	471.9	242.7	2904.0	n/a	n/a	n/a	n/a
6.526	0.026	saccade	n/a	471.9	241.3	n/a	428.8	241.9	1.66	146.0
6.554	0.26	fixation	n/a	427.5	240.0	2854.0	n/a	n/a	n/a	n/a
6.816	0.028	saccade	n/a	427.9	238.8	n/a	480.3	223.4	2.1	177.0
6.846	0.268	fixation	n/a	482.3	225.8	2824.0	n/a	n/a	n/a	n/a
7.116	0.134	saccade	n/a	483.8	232.4	n/a	568.5	201.7	3.43	832.0
7.148	0.048	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
7.252	0.144	fixation	n/a	569.2	227.3	2761.0	n/a	n/a	n/a	n/a
7.398	0.028	saccade	n/a	570.0	226.0	n/a	621.8	209.5	2.05	148.0
7.428	0.148	fixation	n/a	622.8	206.8	2662.0	n/a	n/a	n/a	n/a
7.578	0.072	saccade	n/a	623.9	205.6	n/a	134.4	317.7	18.87	415.0
7.652	0.43	fixation	n/a	129.2	319.5	2749.0	n/a	n/a	n/a	n/a
8.084	0.018	saccade	n/a	131.6	323.8	n/a	154.1	321.0	0.85	66.0
8.104	0.164	fixation	n/a	153.2	321.7	2769.0	n/a	n/a	n/a	n/a
8.27	0.038	saccade	n/a	157.0	322.7	n/a	357.5	290.4	7.77	367.0
8.31	0.132	fixation	n/a	365.3	280.8	2752.0	n/a	n/a	n/a	n/a
8.444	0.018	saccade	n/a	369.2	277.1	n/a	389.7	254.6	1.18	90.0
8.464	0.17	fixation	n/a	387.3	256.6	2777.0	n/a	n/a	n/a	n/a
8.636	0.026	saccade	n/a	389.9	256.7	n/a	423.4	245.6	1.36	122.0
8.664	0.146	fixation	n/a	426.4	247.2	2843.0	n/a	n/a	n/a	n/a
8.812	0.032	saccade	n/a	427.7	247.9	n/a	498.9	240.5	2.74	216.0
8.846	0.13	fixation	n/a	502.0	240.3	2860.0	n/a	n/a	n/a	n/a
8.978	0.042	saccade	n/a	502.6	240.9	n/a	341.5	328.1	7.05	364.0
9.022	0.154	fixation	n/a	335.7	327.7	2917.0	n/a	n/a	n/a	n/a
9.178	0.042	saccade	n/a	333.6	328.8	n/a	483.3	317.3	5.76	298.0
9.222	0.13	fixation	n/a	484.5	319.4	2852.0	n/a	n/a	n/a	n/a
9.354	0.03	saccade	n/a	486.2	321.7	n/a	568.5	310.0	3.17	230.0
9.386	0.136	fixation	n/a	567.7	310.7	2821.0	n/a	n/a	n/a	n/a
9.524	0.066	saccade	n/a	567.2	311.6	n/a	162.1	388.1	15.66	409.0
9.592	0.226	fixation	n/a	157.1	385.5	2829.0	n/a	n/a	n/a	n/a
9.82	0.036	saccade	n/a	158.1	386.4	n/a	301.2	387.1	5.45	362.0
9.858	0.074	fixation	n/a	309.9	389.8	2785.0	n/a	n/a	n/a	n/a
9.934	0.232	saccade	n/a	308.7	391.6	n/a	226.3	353.3	3.5	790.0
9.966	0.108	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
10.168	0.172	fixation	n/a	228.6	376.4	2790.0	n/a	n/a	n/a	n/a
10.342	0.294	saccade	n/a	228.3	379.2	n/a	254.3	363.4	1.17	764.0
10.374	0.168	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
10.638	0.164	fixation	n/a	263.2	380.8	2832.0	n/a	n/a	n/a	n/a
10.804	0.054	saccade	n/a	265.4	384.8	n/a	164.6	209.9	7.82	343.0
10.86	0.086	fixation	n/a	161.1	205.7	2879.0	n/a	n/a	n/a	n/a
10.948	0.038	saccade	n/a	157.5	203.3	n/a	145.6	157.5	1.82	194.0
10.988	0.322	fixation	n/a	140.3	149.2	2823.0	n/a	n/a	n/a	n/a
11.008	0.0	trigger_11	11	n/a	n/a	n/a	n/a	n/a	n/a	n/a
11.112	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
11.312	0.032	saccade	n/a	139.8	153.5	n/a	260.3	145.0	4.58	324.0
11.346	0.214	fixation	n/a	267.0	149.8	2925.0	n/a	n/a	n/a	n/a
11.562	0.032	saccade	n/a	266.8	154.1	n/a	332.8	169.7	2.6	222.0
11.596	0.124	fixation	n/a	336.4	171.9	2896.0	n/a	n/a	n/a	n/a
11.722	0.03	saccade	n/a	337.2	171.5	n/a	410.5	164.5	2.83	214.0
11.754	0.16	fixation	n/a	409.3	167.3	2834.0	n/a	n/a	n/a	n/a
11.916	0.032	saccade	n/a	410.2	169.4	n/a	477.8	148.8	2.69	205.0
11.95	0.148	fixation	n/a	482.2	151.1	2793.0	n/a	n/a	n/a	n/a
12.1	0.018	saccade	n/a	484.7	152.2	n/a	509.5	155.0	0.95	77.0
12.12	0.062	fixation	n/a	507.2	155.6	2827.0	n/a	n/a	n/a	n/a
12.184	0.064	saccade	n/a	509.0	158.1	n/a	90.6	239.8	16.01	428.0
12.25	0.188	fixation	n/a	87.1	243.5	2889.0	n/a	n/a	n/a	n/a
12.44	0.036	saccade	n/a	87.5	247.8	n/a	138.6	192.5	2.85	186.0
